Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
12.0,Left,2.0,-60.0,76968,0.0,718.0,741.0,760.0,1814.0,2834.0,2878.0,3520.0,3543.0,,4729.0,0.0,80965
13.0,Right,2.0,60.0,83989,0.0,726.0,749.0,760.0,1827.0,2844.0,2893.0,3508.0,3531.0,3634.0,4651.0,0.0,87891
14.0,Right,2.0,15.0,90899,0.0,706.0,729.0,745.0,1810.0,2829.0,2874.0,3473.0,3496.0,3599.0,4615.0,0.0,94792
15.0,Right,2.0,-30.0,97796,0.0,703.0,725.0,740.0,1798.0,2813.0,2860.0,3529.0,,,4355.0,0.0,101456
16.0,DurationTime,2.0,7.5,104500,0.0,730.0,754.0,774.0,1837.0,,,,,,2651.0,0.0,106387
17.0,DurationTime,2.0,7.5,109386,0.0,696.0,719.0,730.0,1797.0,,,,,,2612.0,0.0,111285
18.0,Right,2.0,7.5,114274,0.0,690.0,714.0,735.0,1790.0,2808.0,2857.0,3571.0,3594.0,3695.0,4713.0,0.0,118276
19.0,Right,2.0,-15.0,121277,0.0,693.0,713.0,735.0,1799.0,2816.0,2864.0,3682.0,,,4508.0,0.0,125058
20.0,Left,2.0,30.0,128100,0.0,735.0,758.0,777.0,1839.0,2857.0,2906.0,2890.0,,,3722.0,0.0,131061
21.0,Right,2.0,7.5,134089,0.0,724.0,747.0,763.0,1827.0,2845.0,2891.0,3499.0,3522.0,3622.0,4640.0,0.0,137985
22.0,Right,2.0,15.0,141209,0.0,691.0,943.0,955.0,2019.0,3033.0,3083.0,3656.0,3679.0,3782.0,4800.0,0.0,145065
23.0,Left,2.0,-30.0,154367,0.0,697.0,7012.0,7033.0,8097.0,9115.0,9163.0,9671.0,9695.0,,10885.0,0.0,158233
24.0,Right,2.0,-7.5,161258,0.0,725.0,745.0,761.0,1829.0,2848.0,2897.0,3677.0,,,4503.0,0.0,165012
25.0,Left,2.0,-60.0,168036,0.0,713.0,737.0,756.0,1821.0,2836.0,2885.0,3406.0,3430.0,,4618.0,0.0,171908
26.0,Right,2.0,60.0,174895,0.0,687.0,708.0,722.0,1783.0,2799.0,2848.0,3523.0,3546.0,3650.0,4667.0,0.0,178858
27.0,DurationTime,2.0,-60.0,181860,0.0,701.0,724.0,744.0,1799.0,,,,,,2612.0,0.0,183750
28.0,DurationTime,2.0,7.5,186769,0.0,722.0,743.0,755.0,1816.0,,,,,,2631.0,0.0,188665
29.0,Left,2.0,-15.0,192749,0.0,725.0,1799.0,1819.0,2886.0,3903.0,3950.0,4573.0,4596.0,,5785.0,0.0,196725
30.0,Left,2.0,-60.0,199768,0.0,737.0,759.0,773.0,1842.0,2860.0,2905.0,3515.0,3537.0,,4726.0,0.0,203733
31.0,Right,2.0,60.0,206758,0.0,715.0,738.0,756.0,1826.0,2843.0,2890.0,3666.0,3688.0,3789.0,4805.0,0.0,210816
32.0,Right,2.0,30.0,213861,0.0,731.0,755.0,776.0,1840.0,2858.0,2905.0,3425.0,3448.0,3550.0,4565.0,0.0,217664
33.0,Left,2.0,15.0,220704,0.0,729.0,750.0,766.0,1828.0,2845.0,2889.0,3408.0,,,4234.0,0.0,224183
34.0,Left,2.0,-30.0,227217,0.0,723.0,747.0,760.0,1829.0,2846.0,2893.0,3485.0,3509.0,,4703.0,0.0,231197
35.0,Right,2.0,-7.5,234187,0.0,696.0,717.0,730.0,1800.0,2818.0,2865.0,3498.0,,,4322.0,0.0,237801
36.0,Right,2.0,7.5,240785,0.0,688.0,709.0,724.0,1787.0,2802.0,2850.0,3358.0,3381.0,3481.0,4496.0,0.0,244573
37.0,Right,2.0,7.5,247613,0.0,733.0,754.0,768.0,1829.0,2849.0,2894.0,3554.0,3577.0,3678.0,4694.0,0.0,251549
38.0,Right,2.0,60.0,254589,0.0,732.0,756.0,775.0,1840.0,2859.0,2905.0,3832.0,3855.0,3956.0,4973.0,0.0,258806
39.0,Right,2.0,30.0,261827,0.0,723.0,743.0,760.0,1820.0,2837.0,2886.0,3555.0,3578.0,3679.0,4697.0,0.0,265806
40.0,Left,2.0,-30.0,268809,0.0,696.0,717.0,735.0,1794.0,2811.0,2858.0,3708.0,3731.0,,4924.0,0.0,273015
41.0,Left,2.0,-7.5,276020,0.0,700.0,722.0,740.0,1800.0,2819.0,2866.0,3676.0,3702.0,,4894.0,0.0,280215
42.0,Left,2.0,-60.0,283222,0.0,713.0,733.0,748.0,1811.0,2829.0,2876.0,3638.0,3661.0,,4856.0,0.0,287358
43.0,Right,2.0,-15.0,290386,0.0,731.0,755.0,771.0,1831.0,2850.0,2895.0,3630.0,,,4457.0,0.0,294087
44.0,Right,2.0,15.0,297117,0.0,725.0,749.0,759.0,1830.0,2849.0,2894.0,3572.0,3596.0,3698.0,4717.0,0.0,301090
45.0,Right,2.0,60.0,304126,0.0,726.0,747.0,767.0,1831.0,2849.0,2896.0,3548.0,3571.0,3674.0,4694.0,0.0,308066
46.0,Left,2.0,-60.0,318915,0.0,700.0,8551.0,8563.0,9646.0,10662.0,10709.0,11306.0,11329.0,,12521.0,0.0,322864
47.0,Right,2.0,15.0,325900,0.0,739.0,763.0,781.0,1842.0,2861.0,2907.0,3559.0,3582.0,3686.0,4704.0,0.0,329848
48.0,Right,2.0,30.0,332876,0.0,725.0,747.0,758.0,1825.0,2842.0,2890.0,3630.0,3653.0,3756.0,4774.0,0.0,336909
49.0,Right,2.0,-7.5,339936,0.0,719.0,743.0,758.0,1828.0,2846.0,2893.0,3465.0,,,4292.0,0.0,343476
50.0,Left,2.0,-15.0,346503,0.0,722.0,743.0,762.0,1821.0,2840.0,2886.0,3538.0,3561.0,,4747.0,0.0,350505
51.0,Left,2.0,7.5,353667,0.0,731.0,881.0,890.0,1957.0,2975.0,3022.0,3586.0,,,4410.0,0.0,357187
52.0,Right,2.0,-30.0,361816,0.0,698.0,2343.0,2363.0,3424.0,4442.0,4490.0,5127.0,,,5951.0,0.0,365458
53.0,Right,2.0,-7.5,368502,0.0,732.0,754.0,769.0,1836.0,2854.0,2900.0,4647.0,,,5473.0,0.0,373218
54.0,Left,2.0,-60.0,380222,0.0,724.0,4719.0,4742.0,5798.0,6817.0,6862.0,7498.0,7516.0,,8705.0,0.0,384203
55.0,Right,2.0,15.0,387253,0.0,696.0,777.0,791.0,1857.0,2875.0,2921.0,3598.0,3621.0,3724.0,4742.0,0.0,391226
56.0,Right,2.0,30.0,403023,0.0,729.0,9514.0,9532.0,10593.0,11611.0,11660.0,12406.0,12429.0,12531.0,13550.0,0.0,407047
57.0,Left,2.0,-15.0,412477,0.0,725.0,3149.0,3165.0,4223.0,5241.0,5288.0,5756.0,5780.0,,6975.0,0.0,416311
58.0,Right,2.0,-30.0,419355,0.0,731.0,756.0,773.0,1840.0,2857.0,2904.0,3581.0,,,4411.0,0.0,423032
59.0,DurationTime,2.0,7.5,426060,0.0,723.0,747.0,760.0,1831.0,,,,,,2644.0,0.0,427953
60.0,Right,2.0,60.0,431904,0.0,716.0,1661.0,1680.0,2749.0,3768.0,3813.0,4476.0,4499.0,4604.0,5623.0,0.0,435852
61.0,Right,2.0,7.5,438865,0.0,705.0,726.0,740.0,1805.0,2824.0,2869.0,3482.0,3504.0,3608.0,4626.0,0.0,442766
